k_per_eff,y_per_eff,c_per_eff,A,k,y,c,ln_y,ln_c,g_y,case,Period
4.713058377219088,1.3190339571266159,0.9714794413716887,2.253537042913377,10.621051638476423,2.972491883245444,2.189264907559895,1.0894006189635776,0.7835658288339865,0.005982717973933571,no shock with growth,50
4.693750838820802,1.3048269044668372,0.9610158293419228,2.2912159382315096,10.754396731993738,2.9896402001477007,2.201894785080986,1.095153045763068,0.7893182556334769,0.0057524267994903955,no shock with growth,51
4.6722921994137865,1.290488907897571,0.9504557760375765,2.3295248205990498,10.88422064762574,3.0062259416551527,2.214110321161266,1.1006854520640792,0.7948506619344878,0.00553240630101115,no shock with growth,52
4.648810610402915,1.2760400684654762,0.9398140860461085,2.3684742233312406,11.010588099888075,3.022268010098312,2.2259254375238164,1.1060075462511427,0.8001727561215516,0.005322094187063531,no shock with growth,53
4.623429704591923,1.2614992565103436,0.9291046575291692,2.408074855859216,11.133564819460412,3.037784640287654,2.2373535642576803,1.1111285130129536,0.8052937228833623,0.005120966761810841,no shock with growth,54
4.596268623283447,1.2468841785655203,0.9183405314953178,2.4483376066746394,11.253217320763534,3.0527934255495794,2.2484076589935627,1.116057048689054,0.8102222585594627,0.0049285356761004095,no shock with growth,55
4.567442058294631,1.232211440595451,0.9075339383749953,2.4892735463235747,11.369612690078524,3.067311342551519,2.259100225187725,1.1208013936909078,0.8149666035613166,0.0047443450018538336,no shock with growth,56
4.537060306841745,1.2174966077855172,0.8966963420562373,2.530893930450417,11.48281839267328,3.081354774988337,2.269443329567222,1.1253693622837486,0.8195345721541573,0.00456796859284081,no shock with growth,57
4.505229337455313,1.202754261085013,0.8858384815290433,2.5732102028927173,11.59290209751161,3.0949395361966467,2.2794486187855263,1.129768369983419,0.8239335798538275,0.0043990076996702765,no shock with growth,58
4.472050865275953,1.1879980506908734,0.8749704102765867,2.616233998827752,11.699931518222016,3.108080890758558,2.2891273353338732,1.134005458794307,0.8281706686647156,0.004237088810888023,no shock with growth,59
4.437622435252445,1.1732407466475987,0.8641015335424782,2.6599771479716994,11.803974269098026,3.1207935751518665,2.298490332750293,1.1380873204898705,0.8322525303602792,0.004081861695563571,no shock with growth,60
4.402037511918794,1.1584942867275534,0.8532406435950024,2.7044516778323135,11.905097734989567,3.1330918174994813,2.3075480901652274,1.1420203181156274,0.8361855279860362,0.00393299762575694,no shock with growth,61
4.365385574567972,1.1437698217454364,0.8423959531016014,2.7496698170159743,12.003368954026488,3.1449893564671676,2.3163107262198777,1.1458105058755064,0.839975715745915,0.003790187759878938,no shock with growth,62
4.3277522167675615,1.1290777584510616,0.8315751267197627,2.7956439985900365,12.09885451219096,3.156499459355201,2.324788012390854,1.1494636475456936,0.8436288574161024,0.0036531416701872654,no shock with growth,63
4.289219249278234,1.1144278001356807,0.8207853110039126,2.842386863501394,12.191620448825761,3.1676349394264154,2.3329893857524273,1.1529852335453445,0.8471504434157532,0.0035215859996509113,no shock with growth,64
4.249864805540585,1.0998289850787708,0.8100331627217939,2.8899112640522047,12.28173217223077,3.178408172510244,2.3409239612055446,1.1563804967804399,0.8505457066508486,0.003395263235095314,no shock with growth,65
4.209763448990684,1.0852897229545193,0.7993248756681433,2.938230267433726,12.369254384560623,3.1888311129197318,2.3486005432008383,1.1596544273654892,0.8538196372358979,0.0032739305850493228,no shock with growth,66
4.168986281550273,1.0708178293100579,0.7886662060581976,2.9873571593192394,12.454251015292904,3.1989153087160886,2.356027636981099,1.1628117863174896,0.8569769961878985,0.003157358952000422,no shock with growth,67
4.127601052715078,1.0564205582208344,0.7780624965786447,3.0373054475170433,12.53678516258859,3.208671916353136,2.3632134593670284,1.165857118307398,0.8600223281778068,0.0030453319899084175,no shock with growth,68
4.085672268734549,1.042104633222273,0.7675186991690482,3.0880888656845293,12.616919041915212,3.2181117147319616,2.370165949108612,1.1687947635462281,0.8629599734166368,0.002937645238830111,no shock with growth,69
4.0432613014395455,1.0278762766110816,0.757039396602503,3.139721377104352,12.694713941348503,3.227245118694239,2.376892776823058,1.171628868875608,0.8657940787460169,0.002834105329379888,no shock with growth,70
